# June Random Holidays
# Format: MM-DD: Theme One, Theme Two

06-01: National Hazelnut Cake Day, World Milk Day
06-02: National Rocky Road Ice Cream Day, National Rotisserie Chicken Day
06-03: National Egg Day, Repeat Day
06-04: National Cheese Day, National Hug Your Cat Day
06-05: World Environment Day, National Gingerbread Day
06-06: National Applesauce Cake Day, National Gardening Exercise Day
06-07: National Chocolate Ice Cream Day, National Bowtie Day
06-08: World Oceans Day, National Best Friends Day
06-09: National Strawberry Rhubarb Pie Day, Donald Duck Day
06-10: National Iced Tea Day, Ballpoint Pen Day
06-11: National Corn on the Cob Day, Corn on the Cob Day
06-12: National Peanut Butter Cookie Day, Red Rose Day
06-13: National Weed Your Garden Day, Sewing Machine Day
06-14: Flag Day, National Strawberry Shortcake Day
06-15: National Strawberry Shortcake Day, Smile Power Day
06-16: National Fudge Day, Fresh Veggies Day
06-17: National Eat Your Vegetables Day, National Apple Strudel Day
06-18: International Picnic Day, National Splurge Day
06-19: National Martini Day, Juneteenth
06-20: National Ice Cream Soda Day, World Refugee Day
06-21: Summer Solstice, World Music Day
06-22: National Chocolate Eclair Day, National Onion Ring Day
06-23: National Pink Flamingo Day, National Hydration Day
06-24: National Pralines Day, Swim a Lap Day
06-25: National Catfish Day, Log Cabin Day
06-26: National Chocolate Pudding Day, National Coconut Day
06-27: National Orange Blossom Day, Sunglasses Day
06-28: National Tapioca Day, Paul Bunyan Day
06-29: National Almond Buttercrunch Day, Camera Day
06-30: National Meteor Watch Day, World Social Media Day
